Wall time,Step,Value
1691721489.6092446,1334706,-23.209999084472656
1691721624.8573365,1339440,-19.959999084472656
1691721734.5155785,1343005,-17.5
1691721844.009265,1346603,-14.010000228881836
1691721953.467665,1350102,-9.850000381469727
1691722063.0615852,1353586,-8.859999656677246
1691722172.5537472,1357222,-5.369999885559082
1691722282.0297122,1360605,-4.869999885559082
1691722447.6703558,1366467,-3.140000104904175
1691722569.0562537,1370481,-4.25
1691722701.0511863,1374913,-3.9800000190734863
1691722833.0947938,1379439,-2.6600000858306885
1691722965.1062434,1384029,-2.4200000762939453
1691723097.0855896,1388674,-1.7599999904632568
1691723235.25222,1393461,-1.0700000524520874
1691723373.3856971,1398301,-0.41999998688697815
